Target Distance: 50, Step Length: 2
0: (x, y) = (0, 0)
1: (x, y) = (-0.938943, -1.7659)
2: (x, y) = (-1.52369, -3.6785)
3: (x, y) = (-3.23802, -2.64843)
4: (x, y) = (-2.75418, -0.707837)
5: (x, y) = (-2.57987, -2.70023)
6: (x, y) = (-2.267, -4.6756)
7: (x, y) = (-3.52564, -6.2299)
8: (x, y) = (-1.56934, -5.81407)
9: (x, y) = (0.419701, -6.02313)
10: (x, y) = (0.628758, -4.03408)
11: (x, y) = (-1.06734, -2.97425)
12: (x, y) = (-2.95838, -3.62538)
13: (x, y) = (-2.4071, -1.70286)
14: (x, y) = (-4.21972, -0.857623)
15: (x, y) = (-5.60903, -2.2963)
16: (x, y) = (-6.22707, -4.19842)
17: (x, y) = (-5.02344, -2.60114)
18: (x, y) = (-5.19775, -0.608755)
19: (x, y) = (-5.40681, -2.5978)
20: (x, y) = (-3.4942, -3.18254)
21: (x, y) = (-4.46381, -1.4333)
22: (x, y) = (-3.4942, -3.18254)
23: (x, y) = (-2.10488, -4.62122)
24: (x, y) = (-3.6143, -3.3091)
25: (x, y) = (-3.96159, -5.27872)
26: (x, y) = (-2.02974, -5.79636)
27: (x, y) = (-0.79842, -7.37238)
28: (x, y) = (-0.382596, -9.32867)
29: (x, y) = (-2.20969, -10.1421)
30: (x, y) = (-0.330302, -9.45811)
31: (x, y) = (0.845268, -11.0761)
32: (x, y) = (-0.664151, -9.76402)
33: (x, y) = (-2.46174, -10.6408)
34: (x, y) = (-2.11444, -12.6104)
35: (x, y) = (-0.287352, -13.4239)
36: (x, y) = (-0.357151, -11.4251)
37: (x, y) = (1.12914, -10.0868)
38: (x, y) = (2.78721, -11.2052)
39: (x, y) = (0.946205, -10.4237)
40: (x, y) = (1.32782, -12.387)
41: (x, y) = (-0.594701, -11.8357)
42: (x, y) = (1.17119, -10.8968)
43: (x, y) = (-0.114381, -12.4289)
44: (x, y) = (1.83436, -12.8788)
45: (x, y) = (0.0367712, -13.7555)
46: (x, y) = (-1.08161, -15.4136)
47: (x, y) = (0.256647, -13.9273)
48: (x, y) = (-1.29765, -15.1859)
49: (x, y) = (-1.05391, -17.171)
50: (x, y) = (-1.67194, -15.2689)
51: (x, y) = (-0.0336366, -16.4161)
52: (x, y) = (-1.78288, -17.3857)
53: (x, y) = (-3.56489, -18.2937)
54: (x, y) = (-5.467, -18.9117)
55: (x, y) = (-5.22326, -16.9266)
56: (x, y) = (-6.00473, -15.0856)
57: (x, y) = (-4.04147, -14.704)
58: (x, y) = (-5.07155, -12.9896)
59: (x, y) = (-7.06881, -12.885)
60: (x, y) = (-5.20165, -12.1682)
61: (x, y) = (-4.14181, -10.4721)
62: (x, y) = (-4.03714, -8.47488)
63: (x, y) = (-2.2879, -9.4445)
64: (x, y) = (-3.70211, -10.8587)
65: (x, y) = (-4.04941, -8.8891)
66: (x, y) = (-6.04453, -8.74958)
67: (x, y) = (-8.03966, -8.8891)
68: (x, y) = (-8.31801, -6.90856)
69: (x, y) = (-7.90218, -4.95227)
70: (x, y) = (-5.97966, -5.50354)
71: (x, y) = (-4.72102, -3.94925)
72: (x, y) = (-4.37372, -5.91886)
73: (x, y) = (-4.68659, -3.94349)
74: (x, y) = (-6.51368, -4.75696)
75: (x, y) = (-5.66845, -6.56958)
76: (x, y) = (-4.35633, -8.079)
77: (x, y) = (-6.12222, -9.01794)
78: (x, y) = (-5.15261, -10.7672)
79: (x, y) = (-7.0932, -10.2833)
80: (x, y) = (-7.0234, -8.28455)
81: (x, y) = (-6.53955, -10.2251)
82: (x, y) = (-8.2716, -11.2251)
83: (x, y) = (-6.65357, -10.0496)
84: (x, y) = (-8.33091, -11.1389)
85: (x, y) = (-6.99265, -9.65256)
86: (x, y) = (-6.64535, -11.6222)
87: (x, y) = (-8.10806, -12.9862)
88: (x, y) = (-10.0207, -13.5709)
89: (x, y) = (-11.5301, -12.2588)
90: (x, y) = (-12.8684, -13.7451)
91: (x, y) = (-11.5562, -12.2357)
92: (x, y) = (-9.55897, -12.3403)
93: (x, y) = (-9.41946, -14.3355)
94: (x, y) = (-11.4195, -14.3355)
95: (x, y) = (-10.5742, -12.5229)
96: (x, y) = (-9.95619, -14.425)
97: (x, y) = (-11.9258, -14.7723)
98: (x, y) = (-11.8211, -12.775)
99: (x, y) = (-12.6026, -14.616)
100: (x, y) = (-14.4698, -13.8993)
101: (x, y) = (-14.0539, -11.943)
102: (x, y) = (-12.6153, -10.5537)
103: (x, y) = (-10.9379, -11.6429)
104: (x, y) = (-12.2762, -10.1567)
105: (x, y) = (-12.1715, -8.1594)
106: (x, y) = (-10.9679, -6.56212)
107: (x, y) = (-12.4066, -5.17281)
108: (x, y) = (-13.5537, -6.81111)
109: (x, y) = (-13.7628, -8.80016)
110: (x, y) = (-11.8309, -8.28252)
111: (x, y) = (-9.89032, -7.79867)
112: (x, y) = (-7.89306, -7.694)
113: (x, y) = (-8.80104, -9.47601)
114: (x, y) = (-10.1132, -7.9666)
115: (x, y) = (-12.0357, -7.41532)
116: (x, y) = (-13.3739, -5.92903)
117: (x, y) = (-14.3436, -7.67827)
118: (x, y) = (-14.5873, -5.69318)
119: (x, y) = (-16.587, -5.72808)
120: (x, y) = (-17.6468, -4.03199)
121: (x, y) = (-17.1292, -5.96384)
122: (x, y) = (-18.9702, -6.7453)
123: (x, y) = (-20.1174, -5.107)
124: (x, y) = (-21.5316, -6.52121)
125: (x, y) = (-19.7657, -7.46015)
126: (x, y) = (-17.766, -7.42525)
127: (x, y) = (-16.0001, -8.36419)
128: (x, y) = (-15.9303, -10.363)
129: (x, y) = (-17.2943, -11.8257)
130: (x, y) = (-15.338, -11.4099)
131: (x, y) = (-14.0793, -9.85557)
132: (x, y) = (-14.8928, -8.02847)
133: (x, y) = (-15.1712, -6.04794)
134: (x, y) = (-15.7892, -7.95005)
135: (x, y) = (-17.6436, -8.69926)
136: (x, y) = (-18.2947, -10.5903)
137: (x, y) = (-20.251, -11.0061)
138: (x, y) = (-19.2209, -12.7205)
139: (x, y) = (-17.2212, -12.6856)
140: (x, y) = (-15.4086, -11.8403)
141: (x, y) = (-17.0469, -12.9875)
142: (x, y) = (-19.0393, -12.8132)
143: (x, y) = (-17.0987, -12.3293)
